name,level,school,casting_time,range,components,duration,classes,source,description
Death Wind,2,Necromancy,1 action,30 ft,"V, M (a piece of bark or root from a tree used to hang a criminal)",1 minute,"Bard, Cleric, Druid, Paladin, Sorcerer, Warlock, Wizard",Avacyn Restored,"As you finish casting this spell, a gust of hot wind, stale with the stink of death, rises all around you, choking and strangling any number of creatures of your choice that you can see within range. Each of the chosen creatures must succeed on a Constitution saving throw or suffer a -1 penalty to all attack rolls, ability checks, and saving throws for the spell's duration. An affected creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. Celestials have disadvantage on this saving throw, and automatically take 1d8 necrotic damage at the start of each of their turns while under the effects of the spell.
 At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, the penalty suffered on a failed save increases by 1 and the damage dealt to celestials increases by 1d8 for each slot level above 2nd."
Eaten by Spiders,4,Conjuration,1 bonus action,90 ft,"S, M (a bit of spider webbing)","Concentration, u to 1 min.","Druid, Ranger, Wizard",Avacyn Restored,"You summon a swarm of spiders around the target, which quickly set to the work of binding its arms, legs, and wings with webbing. The target must succeed on a Dexterity saving throw or be restrained until it breaks free. A creature that is flying has disadvantage on this saving throw. A creature restrained by the webs automatically takes 2d6 acid and 2d6 piercing damage at the start of each of its turns as it is attacked by the spiders. Any nonmagical armor the restrained creature is wearing and any nonmagical weapon it is carrying suffers a permanent, cumulative -1 penalty at the start of each turn that it remains restrained. If this penalty reaches -5, the armor or weapon is destroyed. A creature restrained by the webs can use its action to make a Strength check against your spell save DC. If it succeeds, it is no longer restrained, and the spell ends. The webs are flammable, and when exposed to fire burn away in 1 round, dealing 2d4 fire damage to the restrained creature.
 At Higher Levels. When you cast this spell using a spell slot of 5th level or higher, the acid and piercing damage each increase by 1d6 for each slot level above 4th. When you cast this spell using a spell slot of 6th level or higher, you can target two creatures within range; when you cast this spell using a spell slot of 8th level or higher, you can instead target three creatures."
Exquisite Blood,9,Necromancy,1 action,Self,"V, S, M (a drop of blood from a creature that has been dead for no longer than 24 hours)",1 hour,"Warlock, Wizard",Avacyn Restored,"When you cast this spell, a shimmering aura of crimson energy appears around your body, which seems to sap the very life from the air around you. For the duration of the spell, whenever a creature within 30 feet of you takes damage, it must make a Constitution saving throw. On a failed save, the target takes an additional 3d8 necrotic damage as its blood is sucked from the wound and drawn through the air towards you, causing you to regain a number of hit points equal to the necrotic damage dealt this way."
Grave Exchange,6,Necromancy,10 mins,Touch,"V, S, M (a ruby and a jet, each worth 400 gp, both consumed in the casting)",Instantaneous,"Druid, Wizard",Avacyn Restored,"You touch a dead creature that has been dead for no more than a century, and that isn't undead. You then touch a living creature that is either willing or unconscious. If the dead creature's soul is free and willing, the target returns to life will all its hit points, and the living creature is automatically reduced to 0 hit points and killed. This spell neutralizes any poisons and cures any diseases afflicting the creature when it died, and closes all mortal wounds and restores any missing body parts. Coming back from the dead is an ordeal. The target takes a -4 penalty to all attack rolls, saving throws, and ability checks. Every time the target finishes a long rest, the penalty is reduced by 1 until it disappears.
 "
Grapple with the Past,2,Conjuration,1 reaction,90 ft,"V, S, M (an object belonging to the target for at least 1 week)",Instantaneous,"Druid, Ranger",Eldritch Moon,You can use your reaction to cast this spell when a creature within range would take damage. You use the connection the target shares to the spell's material component to draw them towards yourself and out of harm's way. The target is teleported to an empty space of your choice within 5 ft.
Imprisoned in the Moon,6,Conjuration,1 action,120 ft,"V, S, M (a silver statuette in the shape of a bird, worth 3000 gp)",1 year,"Cleric, Druid, Warlock, Wizard",Eldritch Moon,"Wielding powerful eldritch magic, dangerous in its unpredictability, you attempt to bind a creature within range to the statuette, forcing the target to make a Charisma saving throw. On a failed save, the target's soul is drawn into the statuette, and their body immediately petrifies into solid silver. For the duration of the spell, the target's body can not be damaged or destroyed in any way, and can not be moved or magically transported. During this time, the target's soul remains trapped in the statuette. While in the statuette, the target remains aware of the world and the passing of time. If the spell ends, or dispel magic is cast on the statuette, the target's soul immediately returns to their body, which resumes its previous form, and the statuette crumbles into powder.
 At Higher Levels. When you cast this spell using a spell slot of 9th level or higher, the effects of the spell last until dispel magic is cast on the statuette. In addition, the statuette becomes a magic item which requires attunement, and allows the attuned creature to use an action to cast one 1st level spell of your choice from the list of spells you know. The spell must be chosen when the target is first sealed in the statuette."
Ironwright's Cleansing,3,Abjuration,1 hr,Touch,"S, M (silver dust worth half as much as the target item, consumed in the casting)",Instantaneous,"Cleric, Paladin",Eldritch Moon,"Your touch cleanses a magic item, removing any curses from the item or swaying it to your cause. The magic item must not have a creature currently attuned to it, or else the spell fails. If the magic item is cursed, the curse is removed and the effects of the curse permanently disappear. If the magic item is sentient, it must make a Wisdom saving throw or have its alignment shift by one step in the direction of your choice for the next 24 hours."
Lunar Force,4,Abjuration,1 action,Self,"V, S",1 hour,Cleric,Eldritch Moon,"When you cast this spell, you surround yourself in a magical aura which glows a faint white, like moonlight. While surrounded by this aura, the next time you become the target of a spell of 3rd level or lower, the spell fails and has no effect, and the aura disappears as this spell ends.
 At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the aura blocks the next spell that targets you if its level is less than or equal to the level of the spell slot you used."
Nahiri's Wrath,9,Conjuration,1 action,120 ft,"V, S, M (a piece of unworked iron ore)",Instantaneous,"Warlock, Wizard",Eldritch Moon,"As you cast this spell, you can choose to expend any number of additional spell slots, then record the number and total level of all spell slots expended this way. You reach out with your mind and search the ground around you, feeling for solid stone and transforming it into red-hot weapons crafted from molten earth. The number of weapons created in this way is equal to the number of spell slots expended as you cast this spell. Choose a number of creatures that you can see within range equal to or less than the number of additional spell slots expended as you cast this spell, and make a ranged spell attack against each of the chosen creatures as the blazing-hot weapons fly through the air towards the targets. On a successful hit, each weapon deals 1d10 fire and 1d10 slashing damage times the total level of additional spell slots expended as you cast this spell."
Repel the Abominable,3,Abjuration,1 reaction,30 ft,"S, M (a silvered shield)",Instantaneous,"Bard, Cleric, Ranger, Warlock",Eldritch Moon,"You can cast this spell using your reaction whenever an aberration, fey, fiend, monstrosity, or undead makes an attack against a creature within range. A gleaming silver shield appears in front of the target, automatically blocking the attack and preventing the damage. The target also gains a +2 bonus to AC until the start of your next turn.
 "
﻿Abelson’s Subtle Dissatisfaction,1,Enchantment,1 action,60 ft,S,"Concentration, up to 10 min","Bard, Wizard",Other Homebrew Spells,"Creatures within 30 ft of a selected point in range must make a Wisdom save. On a failure, they perceive a subtle feeling of disquiet in the chosen area, and must use their movement on each of their turns to move directly away from the chosen point. This effect fades once they are at least 30 feet from the chosen point, and entering the spell’s area again causes them to make another Wisdom save with the same results. On a successful save, there is no effect. Any creature which approaches within 30 ft of the selected point for the first time must also make a Wisdom save, with the same results."
Ancestor’s Blessing,2,Necromancy,1 min,Touch,"V, S, M (a dozen grains of any wheat)",Special,"Cleric, Druid, Warlock, Wizard",Other Homebrew Spells,"You call upon an ancestor spirit for advice or protection. You may ask it to complete one task for you.
 Oracle. You ask the spirit a question, which it answers to the best of its ability. It can not lie to you, but it may not know the answer.
 Blessing. The spirit blesses you. For the next 24 hours, you have advantage on saving throws for one ability of your choice.
 Guardianship. The spirit will guard an area for you. It will alert you instantly if there are any intruders, no matter where you are (so long as you and the spirit are on the same plane,) but it can not fight the intruder or otherwise interfere. It will remain for up to one month before departing, but you may dismiss it earlier if you choose.
 Vitality. The spirit imbues the target with health and vigor. The target may spend up to their Constitution modifier (minimum 1) in Hit Dice."
Ancestral Fortitude,1,Transmutation,1 bonus action,Self,"V, S, M (a drop of your own blood)",1 min,"Cleric, Paladin, Wizard",Other Homebrew Spells,"You fortify your natural resilience with calls to your ancestors as their power runs through you. For the duration, you have advantage on all Strength and Constitution saving throws."
Animate Armor,3,Transmutation,1 action,Touch,"V, S","Concentration, up to 1 hour",Wizard,Other Homebrew Spells,"This spell creates a construct under your control. Choose a nonmagical suit of armor in range that isn’t being worn or carried. The armor animates and becomes a creature under your control until the spell ends or until the creature is reduced to 0 hit points. As a bonus action, you may mentally command any creature made with this spell if the creature is within 120 feet of you (if you control multiple creatures you may command any or all of them at the same time, issuing the same command to each one.) You decide what action the creature will take and where it will move during its next turn, or you can issue a general command to be followed, such as to guard a particular chamber or corridor. If you issue no commands, the creature only defends you and itself against hostile creatures. Once given an order, the creature continues to follow it until complete. An animated suit of armor is a construct with the same statistics as an Animated Armor, except its AC is the same as the armor you animated, with a Dexterity bonus of +0. If animated along with an Animated Weapon, it is able to replace its slam attack with an attack from that weapon. The DM has the creature’s statistics."
Animate Weapon,1,Transmutation,1 action,Touch,"V, S","Concentration, up to 1 hour",Wizard,Other Homebrew Spells,"This spell creates a flying weapon. Choose a simple or martial nonmagical weapon in range that isn’t being worn or carried. The weapon animates and becomes a creature under your control until the spell ends or until the creature is reduced to 0 hit points. If the creature ends its turn more than 30 feet from you, the spell ends and it returns to being a nonmagical weapon. As a bonus action, you can mentally command any creature made with this spell if the creature is within 30 feet of you (if you control multiple creatures you may command any or all of them at the same time, issuing the same command to each one.) You decide what action the creature will take and where it will move during its next turn, or you can issue a general command to be followed, such as to guard a particular chamber or corridor. If you issue no commands, the creature only defends you and itself against hostile creatures. Once given an order, the creature continues to follow it until complete. An animated weapon is a construct with the same statistics as a Flying Sword, but deals the damage of the weapon animated, and loses its +2 to hit if you are not proficient with the animated weapon. The DM has the creature’s statistics.
 At Higher Levels. If you cast this spell using a spell slot of 3rd level or higher, you can animate an additional weapon for every two spell slots above 1st level."
Arcane Hacking,2,Transmutation [technomagic],1 action,Self,"V, S, M (hacking tools)","Concentration, up to 1 hr","Sorcerer, Warlock, Wizard",Other Homebrew Spells,"You gain advantage on all Intelligence checks made using hacking tools to break software encryption or online security when using a foreign system. This spell also allows you to break 2nd-level and lower protective spells such as arcane lock or glyph of warding by making an Intelligence check using hacking tools or thieves’ tools against the spell save DC of the spell’s caster.
 At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, you can attempt to counteract a spell set to secure the foreign system if the spell’s level s equal to or less than the level of the spell slot you used."
Arcane Orbs,0,Abjuration,1 action,60 ft,"V, S",Instantaneous,Wizard,Other Homebrew Spells,"You trace an arcane sigil in the air and a luminescent orb forms by your head. Choose a target within range and make a ranged spell attack against that creature as the sphere hurtles towards it. On a hit, the sphere deals 1d6 force damage. At 5th level, you may choose and attack two creatures within range. At 11th level you may choose and attack three creatures, and at 17th level you may choose and attack up to four creatures within range."
Armor Mastery,1,Divination,1 action,Self,"S, M (the armor or shield you touch while casting this spell)",10 min,"Bard, Sorcerer, Warlock, Wizard",Other Homebrew Spells,"You run your hands across a piece of light, medium, or heavy armor or a shield when you cast this spell. If you do not have proficiency with that armor or shield, you gain proficiency for the duration of the spell."
Bane Shot,4,Evocation,1 bonus action,Touch,"V, S","Concentration, up to 1 min","Chronomancer, Paladin, Ranger, Wizard",Other Homebrew Spells,"You touch a ranged weapon that uses ammunition, infusing it with the power of vengeance. The next time you hit a creature with a weapon attack before this spell ends, the target must make a Constitution saving throw. On a failed save the target takes an extra 10d6 piercing damage, or half as much on a successful one.
 At Higher Levels. When you cast this spell using a 5th level spell slot or higher, the damage increases by 2d6 for each spell slot above 4th."
Bending Blade,1,Transmutation,1 bonus action,Touch,V,"Concentration, up to 1 min","Bard, Ranger",Other Homebrew Spells,"When you cast this spell, one melee weapon you are holding gains the finesse property until you drop the weapon, lose concentration, or until the spell ends.
 At Higher Levels. When you cast this spell using a spell slot of 2nd level, you can maintain concentration on the spell for up to 1 hour. If you cast this spell using a spell slot of 3rd level, you can maintain concentration on the spell for up to 8 hours."
Bernson’s Potted Bear,1,Enchantment,1 action,Self (60 ft),"V, S, M (a small container of any sort)","Concentration, up to 1 min","Bard, Druid, Ranger, Wizard",Other Homebrew Spells,"As you cast this spell, you open the small container you have prepared and force all creatures within 60 ft that can see you to make a Wisdom saving throw. Any creature which fails this throw suddenly believes that a bear has leapt from the bag when it was opened, and reacts accordingly to this development."
Binding Promise,1,Divination,1 bonus action,Touch,V,--,"Bard, Cleric",Other Homebrew Spells,"This spell may be cast during the statement of an oath or promise, creating a magically enforced pact or agreement. Both the caster and the target immediately know whether or not the other intends to keep their promise, and are magically informed should one or the other break their oath.
 At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, you may enter an additional two individuals into the pact for every spell slot above 1st level."
Biography,4,Divination,1 action,90 ft,"V, S, M (an empty book or blank scroll)",Instantaneous,Wizard,Other Homebrew Spells,"When you cast this spell, you target an intelligent creature that you can see within range, forcing them to make a Charisma saving throw. On a failed save, you create a written transcript of the target’s life on the material component used for casting the spell, a process which takes one full round. The crafted story is separated into chapters for easy reading, and is written from a third-person point of view. Only the strongest memories or most important parts of the target’s life are written by the spell. While the transcript is being written, the target is stunned. If the target succeeds on their saving throw, the material component used in the spell remains blank, and the target suffers no ill effects."
Blacksteel,0,Necromancy,1 action,Touch,"V, S",1 min.,"Cleric, Wizard",Other Homebrew Spells,"One metal weapon you touch becomes completely matte black and utterly silent for the spell’s duration- it makes no noise when being drawn or when it strikes another object. The spell ends if you lose contact with the weapon by dropping it, being disarmed, or otherwise are not touching it. Once per turn, when you reduce another creature to 0 hit points with the weapon, you gain 1 temporary hitpoint.
 The temporary hitpoints granted by the spell increase by 1 when you reath 5th level (2), 11th level (3), and 17th level (4)."
Black Bag,1,Conjuration,1 action (ritual),Touch,"V, S, M (a small bag of any sort)","Concentration, up to 24 hours","Sorcerer, Warlock, Wizard",Other Homebrew Spells,"Upon casting this spell, the bag required for the material component shifts into a plain leather bag, black as midnight in color. Inside are a number of small knives, scalpels, and other torture devices. If the implements are removed from the bag by anyone except the owner, or if the implements leave the owner’s hand, they immediately dissolve into dust. The bag is otherwise similar in function to a bag of holding, though any objects left in the bag after the spell ends are lost in a random location on the Astral Plane."
Blazing Slash,3,Evocation,1 bonus action,10 ft,"V, M (a weapon which deals slashing damage)",Instantaneous,"Sorcerer, Warlock, Wizard",Other Homebrew Spells,"As part of the action to cast this spell, you must make one melee weapon attack with a weapon which deals slashing damage against a creature within range of the spell. A crescent of energy exudes from the arc of the weapon in a flat, 30-foot cone, oriented as you choose. All creatures within range of the blast must make a Dexterity saving throw, and any creature hit by the weapon attack automatically fails this save. On a failed save, a target takes 3d6 fire damage, and all attacks made against it have advantage until the end of your next turn. On a success, a target takes only half damage, and no other effects. The crescent of energy leaves a 6-inch deep gash in any nonmagical item it makes contact with, cleaving through objects of lesser width entirely.
 At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d6 for each level above 3rd."
Blood of Lolth,2,Conjuration,1 action (ritual),Self,"V, M (a bit of spider web)",1 hour,"Cleric, Druid, Sorcerer, Wizard",Other Homebrew Spells,"Casting this spell allows you to cut yourself at any point in time during the spell’s duration, causing you to take 1 point of damage and producing a small spider from the blood which spills (use the statistics of the Spider provided in the Monster Manual.) The summoned spider acts of its own volition on your turn in initiative, but follows the commands of the creature whose blood it was formed from. You may communicate with it telepathically as long as it is within 100 ft. of you, and it understands any languages you speak, though it can not communicate back. At any time as a bonus action, you may take total control of the spider, allowing you to see as it sees and perform the actions you choose. You may take control only if the spider is within 100 ft., but once you have done so, you may travel beyond that range. If the spell ends while you have control over the spider, your mind is shunted back to your body, causing you to take 1d4 psychic damage. While controlling the spider, you may cause your body to speak, though you may not cause it to act. You can end this effect at any time you choose, though doing so also ends the spell."
Bloodied Blade,1,Necromancy,1 action,Self,"V, S",10 min,Wizard,Other Homebrew Spells,"When you cast this spell, you must spend 1 hit die as blood seeps out of your skin, running down your arm and calcifying into a thin scarlet veneer over the weapon you hold in your hand. For the duration of the spell, you are considered proficient with the weapon, and the first time each round that you deal damage with the weapon, it does additional necrotic damage. This additional damage is the same as the hit die spent casting this spell."
Bolt of Time,0,Evocation,1 action,120 ft,"V, S",Instantaneous,Chronomancer,Other Homebrew Spells,"A beam of blue and purple energy streaks towards a target within range. Make a ranged spell attack against the target, dealing 1d10 force damage on a hit.
 The spell’s damage increases when you level up, dealing 2d10 at 5th level, 3d10 at 11th level, and 4d10 at 17th level."
Bonesword,3,Necromancy,1 action,Touch,"V, S, M (a length of bone, which the spell consumes)","Concentration, up to 10 min","Chronomancer, Cleric, Paladin, Wizard",Other Homebrew Spells,"A bone held in your free hand grows to become a shortsword, longsword, or greatsword, doing so for the duration of the spell before crumbling to dust. Anyone may use the sword, and it is a magical weapon. While wielding the bonesword, you are proficient with it. The bonesword deals an extra 2d6 necrotic damage against living creatures."
Borov’s Golden Compass,3,Divination,1 action (ritual),Self,"V, M (a golden coin)",Instantaneous,"Bard, Cleric, Wizard",Other Homebrew Spells,"You ask a question and carve two different answers on the golden coin, one on each side. You then flip the coin, and the side with the truest answer will face upwards."
Bountiful Sunlight,3,Conjuration,1 action,10 ft,"V, S","Concentration, up to 1 min",Cleric,Other Homebrew Spells,"You release a wave of warm light from your body, healing non-hostile creatures within range for 1d6 hit points per round.
 At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, you heal an additional 1 hit point per round for every spell slot above 3rd level."
Brain Damage,1,Evocation,1 action,60 ft,"V, S",Instantaneous,Wizard,Other Homebrew Spells,"You send a quick, sharp blast of psychic energy into the brain of a creature you can see within range. The target must make an Intelligence saving throw. On a failed save, the creature takes 2d6 psychic damage, and suffers disadvantage on the first Intelligence, Wisdom, or Charisma saving throw it makes within the next minute. On a successful save, the creature takes half damage and suffers no additional effect.
 At Higher Levels. When you cast this spell using a 2nd level spell slot or higher, the damage increases by 1d6 for every level of the spell slot above 1st."
Broadcast,3,Divination,1 action,Touch,"V, S, M (a lock of your own hair)","Concentration, up to 1 hr.","Bard, Wizard",Other Homebrew Spells,"You touch a willing creature and create a one-way telepathic link between your minds. For the duration of the spell, the target shares your sense, seeing and hearing everything you see and hear. Your senses come secondary to the creature’s own, but your sense may become more clear to the creature by focusing on them. If the creature enters combat, for the duration of the fight, your senses become fuzzy and indiscernible to the creature. There is no limit to how far apart the linked creatures can move from one another, and the effect lasts even if you and the creature are on different planes."
Call Stronghold,7,Conjuration,1 hr (ritual),100 ft,"V, S, M (a fully cleared area the size of the structure and a small, perfect model of the structure worth at least 1,000 gp, which the spell consumes)",Instantaneous,"Bard, Cleric, Druid, Sorcerer, Wizard",Other Homebrew Spells,"You summon your structure from one area to another, and it instantly appears within range upon the completion of this spell. If any objects, debris, or similar exist in the area that the structure would materialize in, the spell fails and all components and spell slots used in casting are lost. This spell is not limited to the plane the structure currently resides in, and may summon structures across planar boundaries."
Chains of Doom,3,Conjuration,1 action,60 ft,"V, S, M (a chain at least three links in length)","Concentration, up to 1 min","Warlock, Wizard",Other Homebrew Spells,"Two phantom chains spring from the walls and ground around a creature within range. That creature must succeed on a Dexterity saving throw for each chain created by this spell. For each chain the creature fails its saving throw against, that chain latches onto the creature. While the creature has one or more chains attached to it, it is considered restrained and takes an additional 1d4 necrotic damage whenever it takes damage. On its turn, a creature may use an action to make a Strength or Dexterity saving throw for each chain attached to it. For every success, one of the chains attached to the creature is broken or slips loose, and the creature is no longer restrained by it. When this spell ends, the chains become incorporeal and slowly fade out of sight, until they disappear entirely.
 At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, you summon an additional chain for each spell slot above 3rd level."
Commune with City,5,Divination,1 min (ritual),Self,"V, S",Instantaneous,"Sorcerer, Warlock, Wizard",Other Homebrew Spells,"You briefly become one with the city and gain knowledge of the surrounding area. Aboveground, this spell gives you knowledge of the area within 1 mile of you. In sewers and other underground settings, you gain knowledge of the area within 600 ft of you. You instantly gain knowledge of up to three facts of your choice about any of the following subjects as they relate to the area:
 Terrain and bodies of water
 Prevalent buildings, plants, animals, or intelligent creatures
 Powerful (CR1 or higher) celestials, fey, fiends, elementals, or undead
 Influences from other planes of existence
 Electrical currents, wireless signals, and active transit lines and tracks
 For example, you could determine the location of powerful undead in the area, the location of major sources of electrical power or interference, and the location of any nearby parks."
Conjure Barlgura,4,Conjuration,1 action,60 ft,"V, S",Up to 10 minutes,"Sorcerer, Wizard",Other Homebrew Spells,"You summon a barlgura that appears in an unoccupied space you can see within range. The barlgura disappears when it drops to 0 hit points or when the spell ends. The barlgura is hostile to all non-demons. Roll initative for the barlgura, which has its own turns. At the start of its turn, it moves towards and attacks the nearest non-demon it can perceive. If two or more creatures are equally near, it picks on at random. If it can not see any potential enemies, the barlgura moves in a random direction in search of foes. As part of casting the spell, you can scribe a circle on the ground using the blood of an intelligent humanoid slain within the past 24 hours. The circle is large enough to encompass your space. The summoned barlgura can not cross the circle or target anyone in it while the spell lasts."
Conjure Constructs,2,Conjuration,1 action,60 ft,"V, S","Concentration, up to 1 hr","Sorcerer, Wizard",Other Homebrew Spells,"You summon a construct that appears in an unoccupied space that you can see within range. You may summon one construct of challenge rating 1 or lower, or two constructs of challenge rating ½ or lower. Each construct disappears when it drops to 0 hit points or when the spell ends. The summoned creatures are friendly to you and your companions. Roll initiative for the summoned constructs, which have their own turns. They obey any verbal commands you give to them, with no action required by you. If you issue no commands, they defend themselves from hostile creatures but otherwise take no actions. The DM has the creatures’ statistics.
 At Higher Levels. When you cast this spell using a 5th level spell slot or higher, you may summon twice as many constructs. When you cast this spell using a 7th level spell slot or higher, you may summon twice as many constructs. When you cast this spell using a 9th level spell slot or higher, you may summon four times as many constructs."
